# VM invoker: C:\Program Files\Java\jdk1.8.0_65\jre\bin\java.exe
# VM options: -Dfile.encoding=Cp1252
# Warmup: 3 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.ucsc.flatbuffers.bench.FlatBuffersCar.flatDecode

# Run progress: 0.00% complete, ETA 00:17:40
# Fork: 1 of 10
# Warmup Iteration   1: n = 36619, mean = 35 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 0, 427, 428, 855, 28519, 59008 ns/op
# Warmup Iteration   2: n = 23563, mean = 46 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 1282 ns/op
# Warmup Iteration   3: n = 10432, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 837, 855 ns/op
Iteration   1: n = 10319, mean = 56 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 841, 855 ns/op
Iteration  20: n = 10207, mean = 64 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 428, 847, 856 ns/op
Iteration  21: n = 10224, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1691, 1710 ns/op
Iteration  22: n = 10133, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  23: n = 10099, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1697, 1710 ns/op
Iteration  24: n = 10243, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
Iteration  25: n = 10253, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  26: n = 10279, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 2516, 2564 ns/op
Iteration  27: n = 10261, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1271, 1282 ns/op
Iteration  28: n = 10235, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  29: n = 10243, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  30: n = 10282, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  31: n = 10272, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 843, 855 ns/op
Iteration  32: n = 10239, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 845, 855 ns/op
Iteration  33: n = 10293, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1257, 1282 ns/op
Iteration  34: n = 10240, mean = 64 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  35: n = 10277, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1258, 1282 ns/op
Iteration  36: n = 10267, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 844, 855 ns/op
Iteration  37: n = 10230, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1262, 1282 ns/op
Iteration  38: n = 10135, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 849, 855 ns/op
Iteration  39: n = 10205, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1273, 1282 ns/op
Iteration  40: n = 10268, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  41: n = 10239, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1272, 1282 ns/op
Iteration  42: n = 9441, mean = 72 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 856, 2992, 2992 ns/op
Iteration  43: n = 10202, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1284, 1284 ns/op
Iteration  44: n = 10203, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  45: n = 10244, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  46: n = 10282, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  47: n = 9958, mean = 65 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1282, 1282 ns/op
Iteration  48: n = 10181, mean = 64 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 848, 856 ns/op
Iteration  49: n = 9942, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1710, 1710 ns/op
Iteration  50: n = 9715, mean = 68 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 428, 856, 856 ns/op

# Run progress: 5.00% complete, ETA 00:20:24
# Fork: 2 of 10
# Warmup Iteration   1: n = 39785, mean = 36 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 0, 427, 428, 855, 23438, 63680 ns/op
# Warmup Iteration   2: n = 20679, mean = 47 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
# Warmup Iteration   3: n = 10379, mean = 55 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration   1: n = 9431, mean = 70 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 855, 2136, 2136 ns/op
Iteration   2: n = 8566, mean = 82 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 855, 18368, 18368 ns/op
Iteration   3: n = 8749, mean = 78 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 855, 2564, 2564 ns/op
Iteration   4: n = 9268, mean = 73 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 855, 11104, 11104 ns/op
Iteration   5: n = 9885, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration   6: n = 10190, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1274, 1282 ns/op
Iteration   7: n = 10178, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration   8: n = 10199, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration   9: n = 10183, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  10: n = 9828, mean = 66 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 856, 1710, 1710 ns/op
Iteration  11: n = 9582, mean = 73 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 855, 3848, 3848 ns/op
Iteration  12: n = 8833, mean = 81 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 1282, 2136, 2136 ns/op
Iteration  13: n = 9604, mean = 75 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 1282, 5984, 5984 ns/op
Iteration  14: n = 9272, mean = 80 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 1166, 25632, 25632 ns/op
Iteration  15: n = 10306, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1684, 1710 ns/op
Iteration  16: n = 10052, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1280, 1282 ns/op
Iteration  17: n = 10215, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1273, 1282 ns/op
Iteration  18: n = 10235, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 845, 855 ns/op
Iteration  19: n = 10160, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
Iteration  20: n = 10428, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1264, 1282 ns/op
Iteration  21: n = 10190, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1274, 1282 ns/op
Iteration  22: n = 10208, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  23: n = 10132, mean = 63 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 2125, 2136 ns/op
Iteration  24: n = 10187, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  25: n = 10020, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1280, 1282 ns/op
Iteration  26: n = 9552, mean = 64 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1282, 1282 ns/op
Iteration  27: n = 10047, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
Iteration  28: n = 10145, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  29: n = 10198, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 847, 855 ns/op
Iteration  30: n = 10256, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1260, 1282 ns/op
Iteration  31: n = 10246, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 844, 855 ns/op
Iteration  32: n = 10224, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1272, 1282 ns/op
Iteration  33: n = 10263, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  34: n = 10266, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 844, 855 ns/op
Iteration  35: n = 10293, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  36: n = 10231, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1262, 1282 ns/op
Iteration  37: n = 10280, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 843, 855 ns/op
Iteration  38: n = 10223, mean = 56 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  39: n = 9990, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1282, 1282 ns/op
Iteration  40: n = 10224, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 846, 856 ns/op
Iteration  41: n = 10257, mean = 59 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 844, 855 ns/op
Iteration  42: n = 9945, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 855 ns/op
Iteration  43: n = 9916, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
Iteration  44: n = 10302, mean = 55 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  45: n = 10170, mean = 60 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 848, 855 ns/op
Iteration  46: n = 10246, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 845, 856 ns/op
Iteration  47: n = 9791, mean = 61 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 2136, 2136 ns/op
Iteration  48: n = 10109, mean = 62 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 856, 2136, 2136 ns/op
Iteration  49: n = 9077, mean = 77 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 428, 428, 428, 1282, 2992, 2992 ns/op
Iteration  50: n = 10259, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1271, 1282 ns/op

# Run progress: 10.00% complete, ETA 00:19:18
# Fork: 3 of 10
# Warmup Iteration   1: n = 30887, mean = 51 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 0, 428, 428, 2564, 34016, 60672 ns/op
# Warmup Iteration   2: n = 19403, mean = 41 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 0, 428, 428, 428, 932, 2136 ns/op
# Warmup Iteration   3: n = 18980, mean = 45 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration   1: n = 18970, mean = 53 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 899, 1282 ns/op
Iteration   2: n = 19001, mean = 51 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 513, 1282 ns/op
Iteration   3: n = 18814, mean = 53 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 856, 856 ns/op
Iteration   4: n = 19064, mean = 54 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 895, 1282 ns/op
Iteration   5: n = 18719, mean = 51 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 537, 1282 ns/op
Iteration   6: n = 18679, mean = 54 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 911, 1282 ns/op
Iteration   7: n = 18684, mean = 49 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 856 ns/op
Iteration   8: n = 18503, mean = 50 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 855, 856 ns/op
Iteration   9: n = 18688, mean = 51 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 911, 1282 ns/op
Iteration  10: n = 18722, mean = 52 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  11: n = 18739, mean = 52 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 482, 855 ns/op
Iteration  12: n = 19062, mean = 49 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  13: n = 18827, mean = 53 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 3411, 22656 ns/op
Iteration  14: n = 18909, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1329, 1710 ns/op
Iteration  15: n = 19685, mean = 57 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 855, 1282, 1282 ns/op
Iteration  16: n = 10478, mean = 53 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1241, 1282 ns/op
Iteration  17: n = 10107, mean = 54 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 850, 855 ns/op
Iteration  18: n = 10050, mean = 56 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 13187, 13248 ns/op
Iteration  19: n = 10325, mean = 55 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1268, 1282 ns/op
Iteration  20: n = 10151, mean = 55 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 849, 855 ns/op
Iteration  21: n = 10070, mean = 58 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1707, 1710 ns/op
Iteration  22: n = 10224, mean = 55 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1272, 1282 ns/op
Iteration  23: n = 10233, mean = 47 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 428, 428 ns/op
Iteration  24: n = 10222, mean = 56 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1282, 1282 ns/op
Iteration  25: n = 10243, mean = 54 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 0, 0, 427, 428, 428, 428, 1679, 1710 ns/op
